Accession,FPKM
,,,
XM_006903838.2,5.18
XM_006903864.2,1.31
XM_006904178.2,7.31
XM_015585598.1,3.66
XM_015585598.1,7.65
,,,
XM_006907056.2,8.68
XM_006907056.2,4.64
XM_006907056.2,6.49
,,,
XM_006907000.2,1.04
,,,
,,,
XM_006904178.2,14.17
XM_015585600.1,5.67
XM_015585600.1,4.26
XM_015585600.1,5.57
,,,
,,,
XM_015585626.1,4.54
XM_015585626.1,12.28
,,,
XM_015585621.1,5.93
XM_015585642.1,10.03
XM_006904178.2,11.73
XM_015585642.1,24.25
XM_015585604.1,2.76
XM_015585604.1,5.83
XM_015585581.1,5.37
XM_006907016.2,7.67
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907028.2,3.05
,,,
,,,
,,,
XM_006907031.2,0.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906957.2,4.03
,,,
,,,
XM_006906938.2,15.11
XM_006906938.2,2.65
,,,
XM_006906938.2,2.77
XM_006906938.2,0.0
XM_006906940.2,1.83
XM_006906940.2,31.3
XM_006906940.2,4.75
XM_006906944.2,8.72
XM_006906943.2,6.28
XM_006906944.2,1.13
XM_006906942.2,5.49
XM_006906944.2,1.52
,,,
XM_015585612.1,19.88
XM_006906947.2,15.31
XM_006906947.2,1.37
XM_006906947.2,0.0
XM_006906950.2,1.32
XM_006906950.2,50.88
XM_006906950.2,4.97
XM_006906950.2,2.04
XM_006906952.2,6.27
XM_006906952.2,3.68
XR_001516484.1,3.98
XM_006906957.2,7.18
XM_006906957.2,5.7
XM_006906957.2,10.8
XM_015585593.1,6.31
XM_015585593.1,4.45
XR_001516446.1,6.61
XM_006907040.2,7.8
XM_006906959.2,8.39
XM_015585583.1,0.0
XR_001516433.1,1.38
XM_006904051.2,10.24
XM_015585616.1,7.39
XM_015585616.1,3.02
XM_015585616.1,5.05
XM_006906963.2,5.42
XM_015585627.1,4.28
XM_015585629.1,0.83
XM_015585628.1,2.74
XM_006906966.2,45.63
XM_006907042.1,5.22
XM_006907042.1,6.4
,,,
XM_006907042.1,0.98
XM_006907042.1,7.22
XM_006906967.2,14.54
XM_006906969.2,15.06
XM_015585659.1,1.76
XM_015585658.1,6.23
XM_006907046.2,8.08
XM_015585595.1,0.35
XM_006906975.2,30.35
"100.00
",3.64
XM_006903870.2,135.35
,,,
XM_006906976.2,4.71
XM_006906976.2,8.24
XM_006906983.2,0.0
XM_006906983.2,7.31
XM_006906983.2,5.67
XM_006906988.2,2329.63
XM_006906988.2,11.96
XM_006906988.2,8.35
XM_006906988.2,18.6
XM_006906989.2,0.82
,,,
XM_015585588.1,5.71
XM_006907056.2,4.01
XM_006907056.2,4.8
XM_006907056.2,2.91
XM_006907056.2,3.64
XM_006907056.2,0.0
XM_006907056.2,8.08
XM_006907000.2,1.58
XM_006907000.2,30.07
XM_006907001.2,9.43
,,,
XM_015585662.1,0.0
XM_015585662.1,2.34
XM_006907008.2,21.16
XM_006907008.2,0.91
XM_015585623.1,2.18
XM_015585623.1,0.0
XM_015585620.1,4.84
XM_015585621.1,5.61
XM_015585621.1,0.0
XM_015585621.1,11.3
,,,
XM_015585621.1,10.9
XM_015585623.1,1.93
XM_015585621.1,0.0
XM_015585581.1,4.48
XM_006907016.2,2.49
XM_006907020.1,0.0
XM_006907030.2,12.04
XM_006907029.2,10.75
XM_006907033.2,68.23
XM_006907056.2,6.59
,,,
XM_006906956.2,199.13
XM_006906951.2,2.97
XM_015585593.1,4.84
XM_006906998.2,7.99
,,,
,,,
XM_015585684.1,8.82
XM_015585684.1,3.33
XM_015585684.1,3.94
,,,
,,,
XM_015585686.1,10.74
XM_015585688.1,140.93
XM_015585688.1,148.17
"100.00
",20.76
,,,
,,,
,,,
,,,
XM_006907072.2,5.35
XM_006907072.2,0.94
,,,
XM_006907072.2,10.32
XM_006907072.2,1.71
XM_006907073.2,43.69
XM_006907073.2,51.07
XM_006907073.2,1.75
XM_015585712.1,3.51
XM_015585693.1,8.98
XM_015585693.1,3.27
XM_015585693.1,0.0
XM_015585693.1,9.83
,,,
XM_015585693.1,3.48
XM_015585693.1,10.41
XM_015585693.1,5.78
XM_015585693.1,11.33
XM_015585693.1,0.95
XM_015585693.1,1.03
XM_015585696.1,5.11
XM_015585696.1,10.51
XM_015585696.1,5.17
XM_015585696.1,2.25
XM_006904052.2,3.33
XM_006907081.2,2.24
XM_006907081.2,7.77
XM_006907081.2,8.24
XM_006907081.2,11.1
XM_006907081.2,17.24
XM_015585700.1,17.43
,,,
XM_006907096.2,6.49
XR_001516450.1,1.48
XR_001516450.1,3.34
,,,
XM_015585702.1,12.82
XM_015585702.1,11.86
XM_015585702.1,8.55
XM_015585714.1,2.66
XM_015585714.1,4.29
XM_015585714.1,2.84
XM_015585714.1,0.84
XM_015585714.1,3.72
XM_015585706.1,5.83
XM_015585706.1,3.96
XM_006903851.2,0.0
,,,
XM_015585706.1,46.16
XM_015585708.1,5.93
XM_015585708.1,162.52
XM_015585696.1,4.29
,,,
,,,
XM_015585711.1,27.2
XM_015585712.1,2.91
XM_015585712.1,0.0
XM_006907077.2,13.32
,,,
XM_006907077.2,2.14
,,,
XR_001516459.1,5.41
,,,
"100.00
",2.49
XR_001516453.1,0.66
XR_001516453.1,4.3
XR_001516453.1,0.0
XR_001516452.1,5.14
XM_015585715.1,54.09
XM_006904052.2,10.41
XM_015585715.1,2.7
XM_015585715.1,3.79
XM_015585717.1,12.56
XM_015585701.1,5.09
XM_015585701.1,4.52
XM_015585701.1,2.7
XM_015585701.1,3.53
XM_006907082.2,33.06
XM_006907082.2,27.78
XM_006907082.2,0.0
,,,
XM_015585705.1,5.84
XM_015585705.1,6.32
XM_015585705.1,2.63
XM_015585705.1,5.38
XM_015585705.1,18.52
XM_015585705.1,25.31
XR_001516459.1,0.0
XR_001516459.1,0.0
XR_001516451.1,0.0
,,,
,,,
,,,
