Accession,FPKM_x,FPKM_y,FPKM_x,FPKM_y,FPKM_x,FPKM_y,FPKM_x,FPKM_y,FPKM
XM_006903855.2,7.52,0.01,7.26,10.05,0.01,0.01,12.47,10.81,0.01
XM_006903856.2,4.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006904030.2,6.75,0.01,0.01,0.01,1.69,0.01,0.01,14.21,14.78
XM_006904037.2,1.78,18.37,11.7,0.01,5.41,0.01,0.01,0.01,7.76
XM_006904039.2,0.73,0.01,14.59,0.01,0.01,0.01,0.01,0.01,0.01
XM_006904043.2,2.05,229.29,1.65,0.01,0.01,0.01,0.01,0.01,0.01
XM_006904047.2,0.01,20.17,0.01,0.01,0.01,0.01,12.6,0.01,0.01
XM_006904049.2,0.01,0.01,0.01,0.01,0.01,0.01,1.17,0.76,1.7
XM_006904162.2,10.9,41.89,0.01,0.01,5.94,0.01,0.01,0.01,16.94
XM_006904178.2,15.6,0.01,0.01,11.73,2.49,0.01,3.47,0.01,0.01
XM_006906618.1,0.79,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906620.2,8.53,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906621.2,2.77,9.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906628.2,12.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906635.2,10.6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906641.2,74.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906645.2,42.39,5.33,2.69,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906652.2,4.58,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906653.2,95.59,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906656.2,18.6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906657.2,5.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906666.2,0.66,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906670.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906678.2,2.44,1.49,1.18,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906684.2,0.6,3.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906692.2,0.97,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906695.2,21.72,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906697.2,4.93,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.35
XM_006906698.2,4.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.8
XM_006906703.2,15.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.19
XM_006906713.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.11
XM_006906714.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.63
XM_006906716.2,16.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.8
XM_006906720.2,23.84,24.52,0.01,0.01,0.01,0.01,0.01,0.01,4.96
XM_006906723.2,23.41,32.86,0.01,0.01,0.01,0.01,0.01,0.01,31.79
XM_006906727.2,5.42,12.58,0.01,0.01,0.01,0.01,0.01,0.01,1.36
XM_006906729.2,28.68,0.01,0.01,0.01,0.01,0.01,0.01,0.01,60.43
XM_006906732.2,11.29,6.0,0.01,0.01,0.01,0.01,0.01,0.01,10.41
XM_006906736.2,8.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14.09
XM_006906739.2,5.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.22
XM_006906741.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13.05
XM_006906742.2,5.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906760.2,9.93,3.66,7.1,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906764.2,306.99,14.64,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906791.1,3.27,0.01,4.91,0.01,0.01,0.01,0.01,0.01,1.54
XM_006906804.1,7.51,0.01,0.01,0.01,7.37,0.01,0.01,0.01,1.29
XM_006906807.2,4.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906809.2,3.08,0.01,0.01,0.01,7.63,0.01,0.01,0.01,3.08
XM_006906810.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,12.71
XM_006906811.2,0.01,0.01,0.01,0.01,2.06,0.01,0.01,0.01,2.33
XM_006906813.2,10.28,0.01,0.01,0.01,13.1,0.01,0.01,0.01,12.44
XM_006906815.2,2.48,0.01,0.01,0.01,3.45,0.01,0.01,0.01,3.88
XM_006906817.2,2.99,0.01,0.01,0.01,9.73,0.01,0.01,0.01,5.55
XM_006906818.2,0.76,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.19
XM_006906821.2,22.48,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.47
XM_006906827.2,10.65,0.01,0.01,0.01,4.35,0.01,0.01,0.01,0.42
XM_006906836.2,12.66,0.01,0.01,0.01,6.87,0.01,0.01,0.01,0.11
XM_006906837.2,1.17,0.01,0.01,0.01,2.05,0.01,0.01,0.01,0.01
XM_006906842.2,94.0,0.01,0.01,0.01,2.04,0.01,0.01,0.01,89.04
XM_006906848.2,3.45,0.01,0.01,0.01,4.68,0.01,0.01,0.01,2.42
XM_006906855.2,0.01,0.01,0.01,0.01,30.38,0.01,0.01,0.01,1.09
XM_006906858.2,13.44,0.01,0.01,0.01,13.85,0.01,0.01,0.01,8.84
XM_006906861.2,10.18,0.01,0.01,0.01,5.14,0.01,0.01,0.01,0.01
XM_006906862.2,0.01,0.01,0.01,0.01,16.17,0.01,0.01,0.01,16.3
XM_006906863.2,0.59,0.01,0.01,0.01,11.72,0.01,0.01,0.01,0.01
XM_006906864.2,0.49,0.01,0.01,0.01,3.62,0.01,0.01,0.01,0.64
XM_006906865.2,12.82,0.01,0.01,0.01,13.93,0.01,0.01,0.01,0.01
XM_006906868.2,5.49,0.01,0.01,0.01,2.98,0.01,0.01,0.01,4.81
XM_006906870.2,3.04,0.01,0.01,0.01,13.57,0.01,0.01,0.01,0.01
XM_006906872.2,0.01,0.01,0.01,0.01,4.46,0.01,0.01,0.01,7.0
XM_006906879.2,1.12,0.01,0.01,0.01,1.18,0.01,0.01,0.01,0.01
XM_006906884.2,0.88,0.01,0.01,0.01,1.6,0.01,0.51,0.01,1.4
XM_006906886.2,12.3,0.01,0.01,0.01,7.91,0.01,12.89,0.01,17.74
XM_006906887.2,0.01,0.01,0.01,0.01,12.85,0.01,1.26,0.01,10.51
XM_006906889.2,8.44,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906890.1,0.01,0.01,0.01,0.01,1.15,0.01,0.01,0.01,0.64
XM_006906893.2,48.2,0.01,0.01,0.01,109.67,0.01,56.61,0.01,63.92
XM_006906894.2,3.7,0.01,0.01,0.01,0.41,0.01,18.02,0.01,19.98
XM_006906896.2,0.01,0.01,0.01,0.01,22.86,0.01,14.09,0.01,0.01
XM_006906897.2,76.03,0.01,0.01,0.01,84.57,0.01,105.45,0.01,0.01
XM_006906900.2,0.01,0.01,0.01,0.01,1.63,0.01,1.07,0.01,1.66
XM_006906901.2,12.19,0.01,0.01,0.01,0.33,0.01,1.23,0.01,10.03
XM_006906902.2,3.56,0.01,0.01,0.01,4.11,0.01,1.42,0.01,0.01
XM_006906904.2,61.25,0.01,0.01,0.01,99.07,0.01,65.0,0.01,63.42
XM_006906905.1,4.51,0.01,0.01,0.01,1.67,0.01,1.7,0.01,0.91
XM_006906911.2,2.24,0.01,0.01,0.01,13.89,0.01,0.01,0.01,11.5
XM_006906913.2,5.52,0.01,0.01,0.01,0.01,0.01,6.97,0.01,14.97
XM_006906914.2,10.1,0.01,0.01,0.01,53.25,0.01,68.03,0.01,12.44
XM_006906937.2,95.27,0.01,0.01,0.01,86.61,0.01,92.63,0.01,99.92
XM_006906938.2,1.78,0.01,0.01,0.01,0.01,0.01,1.14,1.49,11.98
XM_006906939.2,0.01,0.01,0.01,0.01,7.65,0.01,0.01,0.01,0.01
XM_006906940.2,23.9,0.01,0.01,1.83,2.8,0.01,24.27,0.6,28.23
XM_006906941.2,0.01,0.01,0.01,0.01,1.52,0.01,3.55,0.01,2.79
XM_006906944.2,13.59,0.01,0.01,1.13,0.01,0.01,11.02,0.68,1.21
XM_006906945.2,3.09,0.01,0.01,0.01,0.01,0.01,1.23,0.01,4.5
XM_006906947.2,10.26,0.01,0.01,0.01,0.42,0.01,0.85,0.01,0.9
XM_006906950.2,2.72,0.01,0.01,1.32,0.01,0.01,2.1,47.41,0.01
XM_006906951.2,2.14,0.01,0.01,2.97,0.01,0.01,4.13,0.01,6.22
XM_006906952.2,3.13,0.01,0.01,3.68,6.57,0.01,10.73,5.22,4.25
XM_006906955.2,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
XM_006906956.2,10.46,0.01,0.01,199.13,208.34,0.01,193.5,168.62,1.53
XM_006906957.2,1.71,0.01,0.01,10.8,6.63,0.01,0.7,7.69,2.29
