Accession,FPKM
,,,
,,,
,,,
XM_006904155.2,6.43
XM_015585399.1,3.6
XM_015585399.1,2.39
XM_006906697.2,4.35
XM_015585398.1,3.03
XM_006906698.2,4.8
XM_015585457.1,5.39
XM_006906703.2,13.74
XM_006906703.2,1.19
XM_015585457.1,3.43
XM_006906791.1,27.36
XM_015585832.1,0.0
XM_006906791.1,6.6
XM_006906791.1,1.54
XM_006906791.1,7.4
XM_006906791.1,1.59
XM_006906713.2,2.96
XM_006906713.2,15.57
XM_006906713.2,1.7
XM_006906713.2,1.11
XM_015585387.1,1.7
XM_015585387.1,4.79
XM_015585832.1,7.41
XM_015585434.1,14.53
XM_015585434.1,1.15
XM_015585434.1,2.37
XM_006906714.2,18.06
XM_006906714.2,0.63
XM_015585433.1,3.25
XM_015585434.1,1.71
,,,
XM_006906716.2,9.93
XM_006906716.2,7.87
,,,
XM_006906716.2,4.8
XM_006906720.2,4.96
XM_006906723.2,31.79
XM_006906727.2,5.58
XM_006906727.2,1.36
XM_006906729.2,60.43
XM_006906732.2,10.41
XM_006927110.2,30.16
XM_006927110.2,325.75
XM_006927110.2,21.59
XM_015585998.1,11.23
,,,
XM_006906736.2,906.08
XM_006906736.2,14.09
"100.00
",3.98
"99.72
",0.0
XM_006906739.2,9.1
XM_006906739.2,11.54
XM_006906739.2,1.22
XM_006906739.2,16.62
XM_006906741.2,13.05
XM_006904111.2,31.22
XM_015585363.1,10.22
XM_015585387.1,6.82
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585492.1,6.22
XM_015585492.1,4.71
,,,
,,,
,,,
,,,
XM_015585477.1,1.9
XM_015585477.1,1.49
,,,
XM_006906810.2,12.71
,,,
,,,
,,,
XM_015586067.1,2.96
,,,
XM_015585475.1,6.59
XM_015585475.1,11.36
,,,
"100.00
",2.26
XM_015600239.1,7.31
,,,
,,,
,,,
,,,
XM_015585683.1,12.07
,,,
,,,
,,,
,,,
,,,
"100.00
",2.51
"100.00
",7.06
,,,
XM_006906813.2,12.44
XM_006906813.2,17.33
,,,
XM_015585489.1,3.91
,,,
,,,
XM_006906815.2,3.88
XM_006906815.2,5.6
,,,
,,,
,,,
XM_006906826.2,1.79
,,,
,,,
"100.00
",4.53
,,,
,,,
,,,
XM_006906827.2,4.68
,,,
,,,
,,,
,,,
XM_015600239.1,3.98
,,,
,,,
,,,
XM_015600239.1,5.54
XM_015585473.1,3.06
XM_015585492.1,7.69
XM_015585492.1,12.44
XM_006906804.1,7.4
XM_015585493.1,1.29
XM_015585493.1,1.52
XM_006906804.1,1.29
XM_015585470.1,3.14
,,,
XM_006906808.2,13.05
XM_015585473.1,0.0
XM_006906815.2,5.67
XM_006906815.2,8.06
XM_006906817.2,5.55
XM_006906818.2,3.19
XM_006906821.2,24.87
XM_015585484.1,3.93
XM_006906821.2,18.49
XM_006906821.2,18.82
XM_006904030.2,14.78
XM_006906821.2,1.47
XM_006906809.2,5.97
XM_006906809.2,3.08
XM_006906810.2,6.66
XM_006906811.2,2.49
XM_006906811.2,2.49
XM_006906811.2,2.33
XM_006906811.2,7.55
XM_015585490.1,3.38
XM_006906813.2,15.69
XM_006904030.2,8.37
