Accession,FPKM
XM_015600425.1,1499.17
XM_015586803.1,2.95
XM_006903855.2,9.89
,,,
XM_006906884.2,11.7
XM_006906884.2,15.3
XM_006906884.2,2.92
XM_006906884.2,5.16
XM_006906884.2,3.84
XM_006906884.2,0.51
XM_006906884.2,5.1
XM_006906887.2,15.65
XM_006906886.2,12.89
XM_006906887.2,5.15
"100.00
",5.29
XM_006906887.2,1.26
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585560.1,2.77
XM_015585560.1,4.11
XM_015585560.1,3.72
,,,
XM_006906902.2,7.53
,,,
,,,
XM_006906900.2,2.84
XM_006906900.2,1.07
XM_006906900.2,3.81
XM_006906900.2,4.37
XM_006906900.2,6.94
XM_006906897.2,3.49
XM_015585558.1,4.77
XM_015600034.1,3.53
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015600034.1,12.82
,,,
XM_006906905.1,1.7
,,,
,,,
,,,
XM_006906914.2,9.08
XM_006906901.2,9.04
XM_006906901.2,1.23
XM_006906900.2,2.08
XM_006906900.2,3.92
,,,
XM_006906896.2,14.09
XM_015585558.1,2.02
XM_015585558.1,12.42
XM_006906896.2,2.84
XM_015585557.1,3.6
XM_006906894.2,18.02
XM_006906893.2,56.61
XM_006906892.2,66.16
XM_006906892.2,2.11
XM_006906894.2,9.2
,,,
XM_006906892.2,0.0
XM_006906890.1,22.33
XM_006906890.1,0.0
XM_006906890.1,33.78
XM_015585553.1,0.0
XM_015585553.1,4.45
XM_015585553.1,3.56
XM_006906911.2,10.88
XM_006906911.2,0.0
XM_006906904.2,65.0
,,,
XM_015585568.1,3.22
XR_001516425.1,5.31
XM_006906902.2,3.99
XM_006906902.2,1.42
XM_006906902.2,2.74
XM_006906902.2,5.26
XM_006906897.2,105.45
XM_015585570.1,13.35
XM_006906913.2,6.97
XM_006906914.2,68.03
,,,
XM_006906939.2,0.0
XM_006906939.2,1.04
XM_006906939.2,1.0
XM_006906939.2,7.12
XM_006906941.2,7.88
XM_006906945.2,1.23
XM_006906945.2,3.03
XM_015585591.1,3.16
XM_015585591.1,0.0
XM_015585591.1,0.0
,,,
XM_006906955.2,0.0
XM_006906955.2,7.9
XM_006906955.2,1.32
XM_006906958.2,1.22
XM_006906958.2,7.72
XM_015585613.1,1.13
XM_015585613.1,11.84
XM_015585613.1,11.04
XM_015585630.1,44.71
XM_015585586.1,16.08
XM_006903855.2,12.47
,,,
XM_015585586.1,1.31
XM_006906971.2,39.11
XM_015585641.1,5.25
XM_015585595.1,23.61
XM_015585595.1,4.42
XM_015585595.1,28.09
XM_015585668.1,24.24
XM_006906978.2,2.05
XM_006906978.2,0.0
XM_006906978.2,1.73
XM_015600074.1,3.81
XM_015585602.1,6.79
XM_015585632.1,8.22
XM_015585632.1,1.66
XM_015585675.1,30.62
XM_006906981.2,10.5
XM_006906981.2,15.29
XM_006906981.2,12.42
XM_006906982.2,16.79
XM_006906982.2,3.63
XM_006906982.2,0.91
,,,
XM_006906985.2,52.59
XM_015585634.1,4.77
XM_015585634.1,5.8
XM_015585634.1,7.84
XM_015585634.1,5.89
XM_015585634.1,4.9
XM_015585634.1,3.83
XM_015585634.1,4.62
XM_015585634.1,6.5
XM_015585634.1,5.81
,,,
XM_015585634.1,2.88
XM_015585634.1,2.15
XM_015585634.1,2.24
XM_015585634.1,7.19
XM_015585634.1,7.51
XM_006906987.2,3.55
XM_006906987.2,5.36
XM_015585639.1,2.18
XM_015585682.1,7.02
XM_015585682.1,4.36
,,,
XM_015585651.1,4.21
XM_006906997.2,5.11
XM_006906999.2,16.15
XM_006907004.2,23.19
XM_006907004.2,4.15
XM_015585642.1,5.4
XM_015585643.1,1.77
XM_015585642.1,19.45
XM_015585642.1,12.51
XM_006907010.2,4.65
"100.00
",6.1
XM_006907017.2,0.0
XM_006907019.2,2.09
XM_006907017.2,12.74
XM_006907019.2,0.0
XM_006907024.2,19.27
XM_006907022.2,4.9
XM_006907023.2,28.56
XM_006907032.2,0.0
XM_006907032.2,8.6
XM_015585590.1,262.22
,,,
XM_006906997.2,1.6
XM_015585586.1,14.09
XM_006906937.2,92.63
XR_001516429.1,3.52
,,,
,,,
,,,
,,,
XM_006906938.2,4.25
,,,
,,,
"85.90
",3.64
XM_015598710.1,5.05
,,,
,,,
XM_006906939.2,4.14
XM_006906939.2,0.0
,,,
,,,
XM_006906941.2,6.56
XM_006906941.2,8.4
,,,
XM_006906941.2,7.71
XM_006906941.2,3.55
XM_006906941.2,4.71
XM_015585612.1,0.0
,,,
,,,
,,,
,,,
XM_006906945.2,4.65
,,,
,,,
,,,
XM_015585591.1,1.09
,,,
,,,
,,,
XM_006906950.2,5.4
XM_006906950.2,8.7
,,,
,,,
,,,
XM_006903855.2,8.64
,,,
,,,
,,,
,,,
XM_006906955.2,9.06
