logFC	t	P.Value	adj.P.Val
XM_006907005.2	11.063094487576	36.5536342323468	4.97672166008613e-09	4.36956161755562e-06
XM_015585455.1	-9.53276223118721	-26.9645506459804	3.85215854039235e-08	1.69109759923224e-05
XM_006906760.2	-9.31434165340149	-20.9786674021169	2.06853462491126e-07	6.05391133557362e-05
XM_006906678.2	-7.34418296912897	-19.1058785668843	3.85877087369143e-07	8.47000206775269e-05
XM_006904049.2	6.84256105638823	17.2196922686566	7.69981624271665e-07	0.000135208773222104
XM_015585714.1	7.33672613467352	12.5125142708295	6.29908507901433e-06	0.00092176611656243
XM_015585437.1	-7.06881879363392	-11.2986997839785	1.22185716496531e-05	0.00153255798691363
XM_006906645.2	-9.7263207787903	-10.0490996266137	2.59582922536918e-05	0.00259490707336965
XM_006907096.2	9.26858719381733	10.0108064721159	2.65992752395522e-05	0.00259490707336965
XM_015585706.1	11.9081392637867	9.57543599819104	3.53107098427182e-05	0.00310028032419066
