Accession,FPKM
,,,
,,,
XM_006903859.2,6.28
XM_015600646.1,9.13
,,,
"100.00
",2.46
XM_015585473.1,4.95
XM_015600239.1,5.46
,,,
,,,
,,,
XM_006906811.2,2.06
,,,
,,,
XM_006904125.2,38.48
,,,
,,,
"100.00
",5.14
XM_006906813.2,7.82
XM_006906813.2,6.99
XM_006906815.2,4.63
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006906827.2,5.94
,,,
,,,
,,,
XM_015585492.1,5.71
,,,
XM_006906804.1,7.37
XM_015585492.1,6.34
XM_015585470.1,2.05
XM_015585471.1,1.74
XM_006906808.2,8.08
XM_006906815.2,3.45
XM_006906815.2,4.35
XM_015585488.1,7.02
XM_015585486.1,1.3
XM_015585488.1,1.15
,,,
XM_006906817.2,9.73
XM_015585484.1,4.16
XM_015585484.1,18.61
XM_006906821.2,12.54
XM_006906821.2,0.0
XM_006906809.2,7.63
XM_015585476.1,0.93
XM_006906810.2,3.88
XM_006906810.2,0.0
XM_006906810.2,3.95
XM_006904030.2,1.93
,,,
XM_006906811.2,5.79
XM_006906811.2,6.18
XM_015585490.1,5.2
XM_006906813.2,13.1
XM_006906826.2,0.0
XM_006906826.2,1.79
XM_006906827.2,4.35
XM_015585479.1,0.88
XM_006906811.2,5.87
XM_006904030.2,4.24
XM_006906837.2,2.05
XM_006906836.2,6.87
XM_006906840.2,3.12
XM_015585494.1,3.38
"84.99
",15.7
XM_006906848.2,7.28
XM_006906842.2,56.04
XM_006906842.2,2.04
"84.56
",6.16
,,,
XM_006904030.2,1.69
,,,
,,,
XM_015585494.1,1.69
,,,
,,,
XM_006906840.2,0.0
XM_006906848.2,9.99
XM_006906848.2,4.68
,,,
,,,
XM_015585952.1,7.46
,,,
,,,
,,,
XM_015585507.1,0.0
,,,
"82.30
",0.0
"84.31
",0.0
XM_015585549.1,12.24
XM_015585508.1,17.35
XM_015585508.1,1.31
XM_015585950.1,2.53
XM_015585508.1,3.31
XM_006906861.2,5.14
XM_015585523.1,2.66
XM_006906862.2,16.17
XM_015585521.1,3.71
XM_006906863.2,12.48
XM_006906863.2,2.65
XM_006906863.2,11.72
XM_006906864.2,6.98
XM_006906864.2,4.14
XM_006903861.2,27.23
XM_015585950.1,7.81
XM_006906864.2,3.62
XM_006906865.2,3.73
XM_006906865.2,13.93
XM_006906870.2,13.57
XM_006906879.2,24.44
XM_006906879.2,1.18
XM_015585508.1,12.89
,,,
,,,
,,,
XM_015585950.1,2.51
,,,
XM_006906872.2,4.46
,,,
XM_015585516.1,11.41
XM_015585516.1,4.53
XM_015585516.1,6.36
XM_015585516.1,3.28
,,,
,,,
,,,
,,,
XM_015585534.1,5.73
XM_015585534.1,6.83
,,,
,,,
,,,
,,,
,,,
XM_015585523.1,0.0
,,,
,,,
,,,
XM_015585525.1,13.26
,,,
XM_006906863.2,3.13
XM_015585539.1,6.07
XM_015585539.1,0.0
XM_006906865.2,5.81
,,,
,,,
,,,
XR_001516422.1,2.92
,,,
XM_015585518.1,0.0
XM_015585518.1,15.14
,,,
XM_006906870.2,8.33
,,,
,,,
,,,
XM_015585529.1,4.29
XM_006906854.2,7.63
