Accession Number,Transcript Id,FPKM Value
NW_006433378.1,1,1499.17
NW_006429308.1,10,2.95
NW_006429596.1,100,9.89
NW_006429782.1,1000,0.0
NW_006431932.1,10000,11.7
NW_006431932.1,10001,15.3
NW_006431932.1,10002,2.92
NW_006431932.1,10003,5.16
NW_006431932.1,10004,3.84
NW_006431932.1,10005,0.51
NW_006431932.1,10006,5.1
NW_006431932.1,10007,15.65
NW_006431932.1,10008,12.89
NW_006431932.1,10009,5.15
NW_006429782.1,1001,5.29
NW_006431932.1,10010,1.26
NW_006431933.1,10011,3.8
NW_006431933.1,10012,2.71
NW_006431933.1,10013,6.63
NW_006431933.1,10014,2.7
NW_006431933.1,10015,7.78
NW_006431933.1,10016,1.52
NW_006431933.1,10017,2.77
NW_006431933.1,10018,4.11
NW_006431933.1,10019,3.72
NW_006429782.1,1002,4.58
NW_006431933.1,10020,7.53
NW_006431933.1,10021,5.77
NW_006431933.1,10022,7.36
NW_006431933.1,10023,2.84
NW_006431933.1,10024,1.07
NW_006431933.1,10025,3.81
NW_006431933.1,10026,4.37
NW_006431933.1,10027,6.94
NW_006431933.1,10028,3.49
NW_006431933.1,10029,4.77
NW_006429782.1,1003,3.53
NW_006431933.1,10030,4.54
NW_006431933.1,10031,4.83
NW_006431933.1,10032,3.07
NW_006431933.1,10033,12.55
NW_006431933.1,10034,1.82
NW_006431933.1,10035,3.14
NW_006431933.1,10036,1.26
NW_006431933.1,10037,5.16
NW_006431933.1,10038,4.12
NW_006431933.1,10039,1.93
NW_006429782.1,1004,12.82
NW_006431933.1,10040,6.27
NW_006431933.1,10041,1.7
NW_006431933.1,10042,1.82
NW_006431933.1,10043,2.2
NW_006431933.1,10044,7.55
NW_006431933.1,10045,9.08
NW_006431933.1,10046,9.04
NW_006431933.1,10047,1.23
NW_006431933.1,10048,2.08
NW_006431933.1,10049,3.92
NW_006429782.1,1005,15.94
NW_006431933.1,10050,14.09
NW_006431933.1,10051,2.02
NW_006431933.1,10052,12.42
NW_006431933.1,10053,2.84
NW_006431933.1,10054,3.6
NW_006431933.1,10055,18.02
NW_006431933.1,10056,56.61
NW_006431933.1,10057,66.16
NW_006431933.1,10058,2.11
NW_006431933.1,10059,9.2
NW_006429782.1,1006,8.72
NW_006431933.1,10060,0.0
NW_006431933.1,10061,22.33
NW_006431933.1,10062,0.0
NW_006431933.1,10063,33.78
NW_006431933.1,10064,0.0
NW_006431933.1,10065,4.45
NW_006431933.1,10066,3.56
NW_006431933.1,10067,10.88
NW_006431933.1,10068,0.0
NW_006431933.1,10069,65.0
NW_006429782.1,1007,7.74
NW_006431933.1,10070,3.22
NW_006431933.1,10071,5.31
NW_006431933.1,10072,3.99
NW_006431933.1,10073,1.42
NW_006431933.1,10074,2.74
NW_006431933.1,10075,5.26
NW_006431933.1,10076,105.45
NW_006431933.1,10077,13.35
NW_006431933.1,10078,6.97
NW_006431933.1,10079,68.03
NW_006429782.1,1008,8.04
NW_006431956.1,10080,0.0
NW_006431956.1,10081,1.04
NW_006431956.1,10082,1.0
NW_006431956.1,10083,7.12
NW_006431956.1,10084,7.88
NW_006431956.1,10085,1.23
NW_006431956.1,10086,3.03
NW_006431956.1,10087,3.16
NW_006431956.1,10088,0.0
NW_006431956.1,10089,0.0
NW_006429782.1,1009,9.2
NW_006431956.1,10090,0.0
NW_006431956.1,10091,7.9
NW_006431956.1,10092,1.32
NW_006431956.1,10093,1.22
NW_006431956.1,10094,7.72
NW_006431956.1,10095,1.13
NW_006431956.1,10096,11.84
NW_006431956.1,10097,11.04
NW_006431915.1,10098,44.71
NW_006431956.1,10099,16.08
NW_006429596.1,101,12.47
NW_006429782.1,1010,2.19
NW_006431956.1,10100,1.31
NW_006441525.1,10101,39.11
NW_006441525.1,10102,5.25
NW_006431956.1,10103,23.61
NW_006431956.1,10104,4.42
NW_006431956.1,10105,28.09
NW_006431956.1,10106,24.24
